show,axis,value,confidence,justification,model
Deadwood,Scope,6,high,"Confined to one frontier camp, but spans every social stratum within it — prospectors, the Gem and Bella Union, the law, the Chinese quarter, and encroaching federal annexation.",claude-opus-4-8
Deadwood,Institutional Sweep,9,high,"The real subject is how a lawless camp organizes itself into civic institutions — the formation of governance, commerce, and Swearengen's saloon as a power node tracing the machinery of nascent statehood.",claude-opus-4-8
Deadwood,Interiority,5,medium,"Al's profanity-laced soliloquies (often to a severed head or while being serviced) give real inner access, but much of the ensemble is observed externally through behavior and rhetoric.",claude-opus-4-8
Deadwood,Authorial Signature,8,high,"Milch's instantly recognizable hand — baroque, Shakespearean-meets-obscene dialogue and rhythmic, theatrical staging — makes any scene identifiable blind.",claude-opus-4-8
Deadwood,Verisimilitude,8,high,"The mud, disease, real historical figures (Hickok, Bullock, Swearengen), and economics of a gold camp feel meticulously researched and lived-in despite the heightened language.",claude-opus-4-8
Deadwood,Density,8,high,"A large ensemble, ornate period-inflected dialogue, and overlapping political and economic threads demand active tracking with little exposition offered.",claude-opus-4-8
Deadwood,Register,8,high,"Operatic and heightened in its profane-poetic monologues and melodramatic confrontations, but earned by the grounded verisimilitude rather than corny.",claude-opus-4-8
Chernobyl,Propulsion,8,high,"The countdown structure and the cascade of lies, exposures, and physical consequences (the burning core, the trial) keep tightening; each revelation forces the next investigative step.",claude-opus-4-8
Chernobyl,Scope,6,high,"Spans the plant, Pripyat, Moscow ministries, the mines, and the liquidator effort, tracing the disaster across multiple strata of Soviet society though confined to one event.",claude-opus-4-8
Chernobyl,Institutional Sweep,8,high,"The real subject is the Soviet state apparatus's machinery of lies and self-protection — the bureaucracy's denial logic causes and prolongs the catastrophe, beyond any individual.",claude-opus-4-8
Chernobyl,Interiority,3,medium,"We watch Legasov, Khomyuk, and Dyatlov largely from outside; the show observes decisions and consequences rather than staging us inside a consciousness.",claude-opus-4-8
Chernobyl,Authorial Signature,6,medium,"A strong, quietly commanding hand — the dread-soaked sound design, desaturated palette, and the buzzing radiation drone create an unmistakable mood without showy tricks.",claude-opus-4-8
Chernobyl,Verisimilitude,9,high,"Meticulously researched — the RBMK reactor mechanics, radiation sickness progression, and Soviet period detail feel reported and earned.",claude-opus-4-8
Chernobyl,Density,7,medium,"Demands the viewer track nuclear physics, the chain of officials, and the technical cause of the explosion with limited hand-holding, though Khomyuk serves as an exposition device.",claude-opus-4-8
Chernobyl,Register,3,high,"Played cool and restrained — flat, understated performances and clinical horror rather than swelling melodrama, despite life-and-death stakes.",claude-opus-4-8
We Own This City,Propulsion,4,medium,"The fractured timeline — jumping between Jenkins's rise, the federal wiretap probe, and the DOJ consent-decree interviews — builds a cumulative case rather than scene-to-scene escalation, so the pull is investigative and structural, not propulsive.",claude-opus-4-8
We Own This City,Scope,6,medium,"Confined to Baltimore but spans the GTTF squad, the wider police department, federal investigators, and the DOJ civil-rights review, layering multiple strata of the policing apparatus across several years.",claude-opus-4-8
We Own This City,Institutional Sweep,9,high,The real subject is how the war on drugs and overtime/stats incentives produce corruption like the Gun Trace Task Force regardless of individuals; the consent-decree scenes make the institution's self-perpetuating logic the explicit text.,claude-opus-4-8
We Own This City,Interiority,2,high,"Wayne Jenkins and the squad are observed almost entirely from the outside through their actions and testimony; the show explains the system, not anyone's soul.",claude-opus-4-8
We Own This City,Authorial Signature,3,medium,"Simon/Pelecanos's deliberately plain, unstylized handheld realism effaces the camera, save for the time-jump structure that signals a documentary-essay approach rather than a showy hand.",claude-opus-4-8
We Own This City,Verisimilitude,9,high,"Adapted from Justin Fenton's reporting, the show is dense with real procedure — door-kicking, BOLO overtime fraud, evidence planting — and feels reported rather than dramatized.",claude-opus-4-8
We Own This City,Density,7,medium,"The viewer must track many officers, federal agents, and DOJ lawyers across non-chronological timelines with minimal hand-holding about which year or case a scene belongs to.",claude-opus-4-8
We Own This City,Register,3,high,"Performances and tone stay cool and naturalistic with no swelling score or melodrama, played flat even as the corruption and stakes mount.",claude-opus-4-8
Babylon Berlin,Propulsion,7,medium,"The interlocking conspiracies — the pornography blackmail ring, the hidden Reichswehr train of gold, Gereon's hunt for his brother — keep tightening and bleeding into one another, though the large ensemble occasionally lets subplots idle.",claude-opus-4-8
Babylon Berlin,Scope,8,high,"It canvasses all of Weimar Berlin at once — vice squad and cabaret, Communist street agitators, monarchist army plotters, industrialists and Soviet exiles — spanning the full social and political strata on the eve of collapse.",claude-opus-4-8
Babylon Berlin,Institutional Sweep,6,medium,"The Berlin police apparatus, the secret Reichswehr 'Black Army,' and the political machinery of a fragile republic are traced as functioning systems, but the drama still centers on Gereon and Charlotte's personal stakes rather than the machine alone.",claude-opus-4-8
Babylon Berlin,Interiority,5,medium,"Gereon's shellshock, morphine use, and hypnosis-induced war hallucinations are dramatized from inside his fractured mind, but much of the ensemble is observed externally.",claude-opus-4-8
Babylon Berlin,Authorial Signature,8,high,"Tykwer's hand is unmistakable — the kaleidoscopic 'Zu Asche, zu Staub' Moka Efti nightclub sequence, expressionist lighting, and propulsive editing announce a strong stylistic presence.",claude-opus-4-8
Babylon Berlin,Verisimilitude,8,high,"The recreation of 1929 Berlin is meticulously researched — the Aschinger eateries, tenement Hinterhöfe, police bureaucracy and period politics feel reported rather than glamorized.",claude-opus-4-8
Babylon Berlin,Density,7,medium,"Multiple factions, German names, and overlapping political plots (the Sorokin gold, the Bittner film, the army coup) must be actively tracked with little hand-holding.",claude-opus-4-8
Babylon Berlin,Register,7,medium,"The lavish cabaret musical numbers, swelling melodrama, and heightened conspiracy theatrics pitch the show loud, though its grounded period texture keeps it from tipping into corniness.",claude-opus-4-8
The Shield,Propulsion,9,high,"Vic's murder of Terry Crowley in the pilot sets off a chain of cover-ups where each lie and killing forces the next; the Strike Team's escalating crimes (the Armenian money train, the betrayals) detonate one problem after another with almost no idling.",claude-opus-4-8
The Shield,Scope,4,medium,"Almost entirely confined to the Farmington district and the Barn precinct, though it touches LA gang turf, immigrant communities, and city politics through Aceveda's mayoral ambitions.",claude-opus-4-8
The Shield,Institutional Sweep,5,medium,"The LAPD's internal politics, IA investigations, and Aceveda's careerism are genuinely tracked as a machine that pressures and corrupts, but the show's real subject is Vic and the Strike Team's personal survival rather than the department's self-perpetuating logic.",claude-opus-4-8
The Shield,Interiority,4,medium,"Largely observes Vic's behavior and improvised schemes from the outside, with little staging inside his consciousness, though Shane's guilt and Vic's rationalizations occasionally surface.",claude-opus-4-8
The Shield,Authorial Signature,5,medium,"The restless handheld camera, fluorescent-lit Barn interiors, and verite immediacy give it a recognizable look, but the technique serves immersion rather than foregrounding an auteur's hand.",claude-opus-4-8
The Shield,Verisimilitude,7,medium,"Drawn from the real Rampart scandal, the squad-room procedure, gang dynamics, and grimy precinct texture feel reported and lived-in rather than glamorized.",claude-opus-4-8
The Shield,Density,5,medium,"Juggles multiple cases, the Strike Team conspiracies, and shifting alliances across seasons, but episodes remain followable and don't aggressively withhold exposition.",claude-opus-4-8
The Shield,Register,5,medium,"The handheld realism keeps much of it grounded, but Vic's volcanic confrontations and the operatic melodrama of betrayals like Shane and Lem push the emotional pitch above flat naturalism.",claude-opus-4-8
Breaking Bad,Propulsion,10,high,"Each choice detonates the next crisis — Walt's first cook forces the disposal of Krazy-8, which forces Tuco, which forces Gus; the engine never idles and consequences compound relentlessly.",claude-opus-4-8
Breaking Bad,Scope,3,high,"Confined largely to Albuquerque and the people in Walt's blast radius — family, the DEA, and the drug trade he touches; the canvas is one man's narrowing world.",claude-opus-4-8
Breaking Bad,Institutional Sweep,1,high,"The cartel and DEA exist as pressure, but the show traces no self-perpetuating institutional logic — it is wholly about Walter White's transformation into Heisenberg.",claude-opus-4-8
Breaking Bad,Interiority,8,high,"Lives inside Walt's self-justification, pride, and denial — his rationalizations ('I did it for the family') are the real text the show interrogates.",claude-opus-4-8
Breaking Bad,Authorial Signature,6,high,"A strong, controlled hand — POV shots from inside barrels, time-lapse cooks, color-coded costuming — without the camera ever foregrounding itself as a trick.",claude-opus-4-8
Breaking Bad,Verisimilitude,7,high,"Grounded in plausible chemistry and cartel procedure, though it tips into operatic heightening late (the Nazi compound, Gus's symmetrical death).",claude-opus-4-8
Breaking Bad,Density,6,high,"Rewards serialized attention to setups like the ricin and Lily of the Valley, but remains accessible and rarely withholds essential exposition.",claude-opus-4-8
Breaking Bad,Register,4,high,"Mostly grounded and naturalistic, with escalating operatic flourishes — the 'I am the one who knocks' speech and Gus's reveal pitch louder than the early restraint.",claude-opus-4-8
Better Call Saul,Propulsion,5,high,"The show is famously patient — long stretches of Jimmy's scams and Kim's lawyering simmer slowly — but Chuck's vendetta and the cartel storyline build genuine consequence over time, so it pulls without ever rushing.",claude-opus-4-8
Better Call Saul,Scope,5,high,"Spans Albuquerque law firms, the courthouse, the cartel underworld, and the eldercare/Sandpiper case, plus the flash-forward Omaha timeline, but stays tethered to one city and a small constellation of characters.",claude-opus-4-8
Better Call Saul,Institutional Sweep,3,high,"HHM, the bar association, and the cartel exert constant pressure, but the rubric's own anchor pegs this at 3: the firm and cartel are pressure sources on Jimmy's and Kim's moral falls, not subjects whose self-perpetuating logic the show traces.",claude-opus-4-8
Better Call Saul,Interiority,7,high,The show lives inside Jimmy's self-justifying psyche and especially Kim's opaque inner conflict; the slow erosion of their consciences and Jimmy's grief over Chuck are the real text.,claude-opus-4-8
Better Call Saul,Authorial Signature,7,high,"A strong, recognizable hand — extreme wide-angle and POV compositions, black-and-white Gene cold opens, montage set to music, and objects shot in striking macro — more visually assertive than Breaking Bad.",claude-opus-4-8
Better Call Saul,Verisimilitude,8,high,"Meticulous legal procedure, the granular texture of document review and elder-law fraud, and plausible cartel logistics make the world feel researched and lived-in.",claude-opus-4-8
Better Call Saul,Density,6,medium,"Rewards close attention to legal maneuvering, long con setups, and the dual timeline, but it unfolds methodically enough that threads remain followable without heavy tracking.",claude-opus-4-8
Better Call Saul,Register,4,high,"Largely restrained and naturalistic — courtroom and domestic scenes played cool — with periodic operatic flourishes like Chuck's breakdown and Lalo's menace, sitting just above grounded.",claude-opus-4-8
Happy Valley,Propulsion,8,high,"Sergeant Catherine Cawood's pursuit of Tommy Lee Royce escalates relentlessly, each confrontation tightening the personal stakes and forcing the next move toward a collision neither can avoid.",claude-opus-4-8
Happy Valley,Scope,2,high,"Confined to one West Yorkshire valley and the small web of family, locals, and police around Catherine; the canvas is deliberately parochial.",claude-opus-4-8
Happy Valley,Institutional Sweep,4,medium,"Policing is the everyday setting and exerts pressure, but the show is about Catherine's family trauma and her grief over her daughter, not how the force self-perpetuates as a machine.",claude-opus-4-8
Happy Valley,Interiority,7,medium,"The drama lives inside Catherine's unresolved grief and rage over her dead daughter and the grandson it produced, giving deep access to her emotional state rather than mere behavior.",claude-opus-4-8
Happy Valley,Authorial Signature,4,medium,"Sally Wainwright's writing has a recognizable voice but the direction is largely naturalistic and unshowy, letting the bleak Calder Valley landscapes speak plainly.",claude-opus-4-8
Happy Valley,Verisimilitude,9,high,"Drug-house squalor, the mundane texture of rural beat policing, and Catherine's exhausting domestic life feel reported and lived-in, with no glamorizing of crime or grief.",claude-opus-4-8
Happy Valley,Density,6,medium,"Multiple threads—missing persons, family fallout, local crime—run in parallel and require attention, though the storytelling remains clear and followable.",claude-opus-4-8
Happy Valley,Register,2,high,"Despite life-and-death stakes and brutal violence, performances and tone stay flat and naturalistic—Catherine's emotion is held tight rather than pitched operatically.",claude-opus-4-8
Ozark,Propulsion,9,high,"Each laundering scheme or cartel demand spawns a worse crisis—the Byrdes are perpetually solving a problem that creates two more, and season cliffhangers (Mason, Ben, Helen) compel immediate continuation.",claude-opus-4-8
Ozark,Scope,4,medium,"Largely confined to the Lake of the Ozarks region and the Byrde family's orbit, though the cartel, FBI, KC mob, and the Snell/Langmore factions add some social breadth.",claude-opus-4-8
Ozark,Institutional Sweep,3,medium,"The cartel, FBI, casino regulators, and political machine apply heavy pressure, but the show is fundamentally about the Byrde family's survival and corruption, not the self-perpetuating logic of any institution.",claude-opus-4-8
Ozark,Interiority,4,medium,"We follow Marty's and Wendy's calculating reasoning and Ruth's emotional struggle, but the show mostly observes maneuvering behavior rather than staging itself deep inside a consciousness.",claude-opus-4-8
Ozark,Authorial Signature,6,high,"The desaturated blue-grey color grading, cold overhead compositions, and chapter-marker title cards give it an instantly recognizable, controlled visual hand.",claude-opus-4-8
Ozark,Verisimilitude,5,medium,"The money-laundering mechanics and rural Missouri milieu feel researched, but the relentless escalation and the Byrdes' improbable survival edge toward the schematic rather than fully lived-in.",claude-opus-4-8
Ozark,Density,5,medium,"Multiple financial schemes and competing factions require attention, but the dialogue explains the laundering logic and motivations clearly enough to follow without much work.",claude-opus-4-8
Ozark,Register,4,medium,"Performances stay mostly cool and clipped (Marty's deadpan calm), though Wendy's late-series theatrics and operatic family showdowns push the pitch above flat naturalism.",claude-opus-4-8
The Expanse,Propulsion,9,high,"The Eros incident, the protomolecule's spread, and each political crisis cascade directly into the next; the narrative compounds rather than idles, with the ring gate opening one chapter into the next.",claude-opus-4-8
The Expanse,Scope,10,high,"Spans Earth, Mars, the Belt, and eventually thousands of new systems through the ring gates, with three (then more) competing powers across the entire solar system.",claude-opus-4-8
The Expanse,Institutional Sweep,8,high,"The UN, Martian military, OPA factions, and corporations (Mao-Kwikowski, Protogen) function as self-perpetuating machines whose logic drives events independent of the Rocinante crew.",claude-opus-4-8
The Expanse,Interiority,4,medium,"We get some access to Holden's moral idealism and Miller's obsession, but the show is largely externally plotted around events and factions rather than staged inside any one mind.",claude-opus-4-8
The Expanse,Authorial Signature,4,medium,"Competent, fairly clean sci-fi craft with attention to thrust gravity and ship design, but no strongly recognizable directorial hand you'd identify blind.",claude-opus-4-8
The Expanse,Verisimilitude,8,high,"Newtonian physics, the toll of g-forces and the 'juice,' Belter creole and physiological adaptation to low gravity all feel meticulously worked out.",claude-opus-4-8
The Expanse,Density,8,high,"Demands tracking many factions, named characters, and political maneuvers across the UN, Mars, and the OPA without much hand-holding.",claude-opus-4-8
The Expanse,Register,4,medium,"Largely grounded and naturalistic in performance, though some plot stakes and the protomolecule horror push toward heightened moments.",claude-opus-4-8
Foundation,Propulsion,5,medium,"The split timelines (Cleon dynasty on Trantor, Gaal/Salvor across the Outer Reach) and centuries-long jumps create grand movement but frequently idle on prophecy and tableau rather than letting each scene tighten the next; momentum is uneven.",claude-opus-4-8
Foundation,Scope,10,high,"A galaxy-spanning Empire across multiple worlds (Trantor, Terminus, Synnax) and centuries of cryo-jumps and clone successions — temporally and geographically maximal.",claude-opus-4-8
Foundation,Institutional Sweep,6,medium,"The genetic dynasty of Cleon clones and psychohistory's modeling of civilizational collapse give the Empire genuine self-perpetuating logic as a subject, though the show keeps pulling focus to individual figures like Gaal, Salvor, and Demerzel.",claude-opus-4-8
Foundation,Interiority,4,medium,"Gaal's voiceover and Demerzel's tortured loyalty offer some inner access, but the mode is largely external spectacle of empire and prophecy.",claude-opus-4-8
Foundation,Authorial Signature,7,medium,"A lavish, distinctive visual hand — the throne-room symmetry, the Cleon aging triptych, vast CGI vistas — makes it recognizable, though it leans on prestige-sci-fi conventions.",claude-opus-4-8
Foundation,Verisimilitude,4,medium,The far-future world is mythologized and grand rather than reported or lived-in; psychohistory and clone-emperor mysticism prioritize sweep over granular plausibility.,claude-opus-4-8
Foundation,Density,7,medium,"Multiple timelines, time-skips of decades, and a sprawling roster (three concurrent Cleons, the Vault, Foundation factions) demand the viewer actively track threads.",claude-opus-4-8
Foundation,Register,7,medium,"Pitched operatic — sweeping orchestral score, portentous prophecy, and grandiose imperial melodrama play emotions and stakes loud rather than cool.",claude-opus-4-8
Game of Thrones,Propulsion,8,high,"Cliffhanger deaths (Ned's execution, the Red Wedding) and converging plotlines keep tightening the situation, with most episodes ending on a hook that forces the next.",claude-opus-4-8
Game of Thrones,Scope,10,high,"Continents from Westeros to Essos, a multi-year sweep, and every social stratum from kings and small council to peasants, Wildlings, and the Night's Watch.",claude-opus-4-8
Game of Thrones,Institutional Sweep,5,medium,"The Iron Throne, the Faith, the Night's Watch and great houses exert real systemic pressure, but the drama is fundamentally about specific families and their power struggles rather than the machinery's self-perpetuating logic.",claude-opus-4-8
Game of Thrones,Interiority,4,medium,"We get some access to Tyrion's wit, Jon's doubts, and Dany's resolve, but the mode is largely external — watching maneuvering and betrayal rather than living inside a consciousness.",claude-opus-4-8
Game of Thrones,Authorial Signature,6,medium,"A confident, lavish hand — the Battle of the Bastards staging, the title-sequence map, and set-piece spectacle — though it works within prestige-fantasy convention rather than radical formal invention.",claude-opus-4-8
Game of Thrones,Verisimilitude,5,medium,"Politics and court intrigue feel grounded and the medieval texture is detailed, but dragons, magic, and increasingly convenient late-season plotting pull it toward the mythologized.",claude-opus-4-8
Game of Thrones,Density,7,high,"A huge cast of houses, names, and shifting allegiances across continents must be actively tracked, with little hand-holding once the early seasons establish the board.",claude-opus-4-8
Game of Thrones,Register,7,medium,"Heightened and operatic — swelling Ramin Djawadi score, grand throne-room confrontations, and melodramatic deaths — though grounded in enough political realism to avoid pure camp.",claude-opus-4-8
ZeroZeroZero,Propulsion,7,medium,"The cocaine shipment's journey from Mexico to Italy creates a relay-race structure where each leg's failure jeopardizes the whole deal, keeping consequence compounding across the three storylines.",claude-opus-4-8
ZeroZeroZero,Scope,9,high,"The show literally spans three continents — the Calabrian 'Ndrangheta buyers in Italy, the Lynwood brokers in New Orleans, and the cartel/military violence in Mexico — tracing one transaction across the entire global supply chain.",claude-opus-4-8
ZeroZeroZero,Institutional Sweep,7,medium,"It maps the cocaine trade as an interlocking system — broker families, 'Ndrangheta clans, and corrupt Mexican military units — though it stays anchored to specific families like the Lynwoods rather than fully abstracting into the machine.",claude-opus-4-8
ZeroZeroZero,Interiority,3,medium,"Largely observational of behavior across factions; Emma Lynwood gets some inner weight via her illness and duty, but the show mostly watches operations from the outside.",claude-opus-4-8
ZeroZeroZero,Authorial Signature,7,medium,"Stefano Sollima's cold, controlled compositions and the throbbing Mogwai score give it a distinctive, recognizable hand without resorting to direct address or formal trickery.",claude-opus-4-8
ZeroZeroZero,Verisimilitude,8,medium,"The logistics of moving a container of cocaine — shipping manifests, payment guarantees, military bribery — feel researched and granular rather than glamorized.",claude-opus-4-8
ZeroZeroZero,Density,7,medium,Three parallel storylines across countries and languages with overlapping non-linear timelines demand the viewer actively track who is connected to which shipment.,claude-opus-4-8
ZeroZeroZero,Register,4,medium,"Despite extreme violence and high stakes, performances stay cool and the tone grim and controlled, with the Mogwai score providing mood rather than melodramatic heightening.",claude-opus-4-8
Mr. Robot,Propulsion,8,high,"Each hack and revelation tightens Elliot's situation, with fsociety's escalating operation and the Five/Nine fallout compounding into the next crisis; the twist-driven structure pulls hard.",claude-opus-4-8
Mr. Robot,Scope,6,high,"Ranges from one man's apartment to E Corp, the Dark Army, and global financial collapse, but stays centered on a small circle in New York rather than a truly continental canvas.",claude-opus-4-8
Mr. Robot,Institutional Sweep,7,medium,"E Corp and the conglomerate-debt machine are dissected as a self-perpetuating system, but the show keeps returning to Elliot's psyche rather than fully tracing the institution's own logic.",claude-opus-4-8
Mr. Robot,Interiority,10,high,"The entire series is staged inside Elliot's unreliable narration, complete with direct address to an imaginary friend and reality-bending dissociative episodes.",claude-opus-4-8
Mr. Robot,Authorial Signature,10,high,"Sam Esmail's off-center, headroom-heavy framing, fourth-wall-breaking voiceover, and structural stunts (silent episode, sitcom episode) make it instantly recognizable blind.",claude-opus-4-8
Mr. Robot,Verisimilitude,8,high,"The hacking is technically accurate down to real tools and command-line procedure, and the depiction of mental illness feels researched rather than glamorized.",claude-opus-4-8
Mr. Robot,Density,8,high,"Withholds reliable narration, hides reveals in plain sight, and demands the viewer track encryption schemes, corporate plots, and which version of reality Elliot is reporting.",claude-opus-4-8
Mr. Robot,Register,6,medium,"Mostly restrained, anxious naturalism in performance, but the synth score, paranoid voiceover, and surreal heightened sequences push the tonal pitch above cool.",claude-opus-4-8
The Sopranos,Propulsion,6,high,"Episodes often digress into dream sequences and domestic stasis (Tony's dinners, therapy circles), but the looming threats—FBI informants, rival capos like Richie and Ralph—keep consequences mounting season to season.",claude-opus-4-8
The Sopranos,Scope,5,high,"Confined largely to North Jersey across the DiMeo family, the suburban Soprano household, and the strip-club crew—a few social strata but no broad geographic or temporal sweep.",claude-opus-4-8
The Sopranos,Institutional Sweep,5,medium,"The Mafia's hierarchy, earners, and tribute system function as a decaying institution, but the show is finally about Tony's psyche and family rather than the machine's own logic.",claude-opus-4-8
The Sopranos,Interiority,9,high,"The Dr. Melfi therapy frame makes Tony's anxiety, guilt, and dreams the explicit text, staging his interior life as the show's central subject.",claude-opus-4-8
The Sopranos,Authorial Signature,6,medium,"Chase's hand shows in the surreal dream episodes (the Test Dream, Kevin Finnerty coma arc) and the famous cut-to-black ending, but the baseline grammar is naturalistic.",claude-opus-4-8
The Sopranos,Verisimilitude,8,high,"The mundane texture of mob life—no-show jobs, garbage routes, sit-downs, and Jersey strip malls—feels lived-in and researched rather than glamorized.",claude-opus-4-8
The Sopranos,Density,7,medium,"Tracks a large ensemble of capos, FBI threads, and recurring symbolism (ducks, the Russian in the Pine Barrens) without recapping, rewarding sustained attention.",claude-opus-4-8
The Sopranos,Register,4,high,"Mostly grounded and darkly comic, with restrained performances, though it spikes into operatic violence and melodrama at key turns like Adriana's death.",claude-opus-4-8
The Americans,Propulsion,8,high,"Each mission and the Jennings' deepening cover stories detonate consequences — a botched op or an exposed agent forces the next desperate move, and the marriage itself escalates as a slow-burn engine.",claude-opus-4-8
The Americans,Scope,6,high,"Spans Cold War espionage across DC suburbia, KGB Rezidentura, FBI counterintelligence, and Moscow, but stays anchored to one family and a handful of factions rather than continents or centuries.",claude-opus-4-8
The Americans,Institutional Sweep,6,medium,"The KGB and FBI operate as real machines with their own bureaucratic logic (Gabriel, the Centre, Stan's counterintel office), but the show's true subject is the Jennings' marriage and identities, not the system itself.",claude-opus-4-8
The Americans,Interiority,7,high,"The show lives inside Philip and Elizabeth's competing convictions and the psychic cost of their disguises — est seminars, Philip's doubts, and Elizabeth's ideological resolve are interior battlegrounds.",claude-opus-4-8
The Americans,Authorial Signature,4,medium,"Largely restrained and classical in style; the recurring needle-drops (like 'Tusk') and wig-and-disguise motif are recognizable touches, but the hand stays mostly invisible.",claude-opus-4-8
The Americans,Verisimilitude,9,high,"Meticulous period tradecraft, dead drops, signal sites, and early-80s detail feel researched and reported, grounding even the disguises in plausible spycraft.",claude-opus-4-8
The Americans,Density,7,medium,"Multiple operations, aliases, and assets run simultaneously with little hand-holding, requiring viewers to track cover identities and shifting allegiances across seasons.",claude-opus-4-8
The Americans,Register,3,high,"Emotionally cool and naturalistic — even murders and betrayals are played quiet and controlled, with stakes pitched low rather than melodramatic despite life-or-death content.",claude-opus-4-8
Slow Horses,Propulsion,8,high,"Each season runs on a tight ticking-clock plot — a kidnapping, a defection, a bomb threat — where Jackson Lamb's team chases consequences that escalate scene to scene, and episodes routinely end on hooks that pull straight into the next.",claude-opus-4-8
Slow Horses,Scope,5,medium,"Confined mostly to London — Slough House, Regent's Park, and a few field locations — with a small recurring ensemble; the canvas widens to MI5's hierarchy but stays geographically and socially contained.",claude-opus-4-8
Slow Horses,Institutional Sweep,6,high,"Slough House itself — the dumping ground for disgraced spies — and MI5's careerist pecking order are satirized as a self-perpetuating system, with Diana Taverner's bureaucratic maneuvering treated as the machine's own logic.",claude-opus-4-8
Slow Horses,Interiority,4,medium,"We get some access to River Cartwright's ambition and Lamb's buried grief, but the show mostly observes the team's behavior and banter externally rather than staging itself inside any mind.",claude-opus-4-8
Slow Horses,Authorial Signature,5,medium,"A recognizable grimy palette and the squalor of Slough House, plus the abrasive comic rhythm of Lamb's dialogue, give it a hand, but the direction is fairly conventional spy-thriller craft.",claude-opus-4-8
Slow Horses,Verisimilitude,7,medium,"The bureaucratic shabbiness, paperwork, and unglamorous tradecraft feel grounded and lived-in, though the plotting takes some thriller-convenient liberties.",claude-opus-4-8
Slow Horses,Density,6,medium,"Multiple agency factions and spy-jargon (joes, dogs, the Park) require tracking, but the writing reliably keeps the plot followable without heavy hand-holding.",claude-opus-4-8
Slow Horses,Register,4,medium,"Largely played in a dry, naturalistic key with deadpan gallows humor via Lamb, with occasional heightened action set-pieces but rarely operatic emotional pitch.",claude-opus-4-8
The Agency,Propulsion,6,medium,"As a slow-burn CIA thriller, the tension around Martian's compromised cover and the forbidden affair with Sami builds steadily, with each operational misstep raising the stakes, though it favors simmering dread over scene-to-scene detonation.",claude-opus-4-8
The Agency,Scope,6,medium,"Anchored in the CIA's London station but reaching into operations in Ukraine, Iran, and Sudan, the canvas is internationally broad without spanning every social stratum or vast timeframes.",claude-opus-4-8
The Agency,Institutional Sweep,6,medium,"The CIA station's tradecraft, handler hierarchies, and bureaucratic risk-management genuinely share the stage as a functioning machine, though the drama still centers on Martian's personal compromise rather than the agency's self-perpetuating logic alone.",claude-opus-4-8
