show,axis,value,confidence,justification
Better Call Saul,Institutional Sweep,3,medium,"The firm and the cartel are settings; the show is about a self, not a system."
Better Call Saul,Interiority,8,high,Deeply interior — staged inside Jimmy's self-conception and Kim's complicity.
Better Call Saul,Authorial Signature,8,high,"Among the most formally composed shows on TV — symmetrical framing, time-lapses, the black-and-white Gene frame."
Better Call Saul,Verisimilitude,8,high,"Granular legal and grift procedure, meticulously textured."
Better Call Saul,Density,6,high,"Serialized and patient, rewarding attention without withholding cruelly."
Better Call Saul,Register,4,high,"Restrained and naturalistic, with tragic operatic notes."
Happy Valley,Propulsion,8,high,Catherine's pursuit of Tommy Lee Royce is a tightening vise; dread escalates scene to scene.
Happy Valley,Scope,2,high,One Yorkshire valley — the canvas is deliberately small.
Happy Valley,Institutional Sweep,4,medium,"Policing is the setting, but the real subject is a family's trauma, not the institution."
Happy Valley,Interiority,7,high,Stays close to Catherine's grief and grit; her interior is the spine.
Happy Valley,Authorial Signature,4,medium,"Plain, naturalistic British social-realist craft."
Happy Valley,Verisimilitude,9,high,Reads as utterly lived-in — the texture of small-town policing and family is exact.
Happy Valley,Density,6,medium,Serialized and attentive but accessible.
Happy Valley,Register,2,high,"Restrained, understated, deadpan in its grimness."
Ozark,Propulsion,8,high,Each episode ratchets the Byrdes' peril; the plot seldom rests.
Ozark,Scope,4,medium,"The Missouri Ozarks plus cartel and local crime — moderate, contained canvas."
Ozark,Institutional Sweep,3,medium,"Cartel and FBI are forces, not the subject; this is a family under pressure, not systems storytelling."
Ozark,Interiority,4,medium,"Some access to Marty and Wendy, but plotting outweighs interiority."
Ozark,Authorial Signature,6,high,A signature desaturated blue-grey palette makes it recognizable on sight.
Ozark,Verisimilitude,6,medium,"Grounded laundering procedure, though plotting can strain plausibility."
Ozark,Density,5,medium,Moderate demand; followable while serialized.
Ozark,Register,5,medium,"Mostly restrained, escalating to operatic family melodrama."
The Expanse,Propulsion,9,high,Crises cascade across factions; each political move forces the next.
The Expanse,Scope,10,high,"Solar-system-wide, with three powers (Earth, Mars, the Belt) — a maximal canvas."
The Expanse,Institutional Sweep,8,high,"The machinery of UN, Martian, and Belter politics is rendered as functioning systems."
The Expanse,Interiority,4,medium,Largely external and plot-driven; interiority is secondary to incident.
The Expanse,Authorial Signature,4,medium,Competent and clean but not strongly auteur-stamped.
The Expanse,Verisimilitude,8,high,Rigorous physics and a believable Belter culture and creole.
The Expanse,Density,8,high,"Many factions, names, and political threads to track."
The Expanse,Register,4,medium,"Mostly grounded, with operatic stakes."
Foundation,Propulsion,4,medium,Century-spanning time jumps and mystery-box withholding keep it from compounding scene to scene.
Foundation,Scope,10,medium,Galaxy-spanning across millennia — scope is maximal.
Foundation,Institutional Sweep,7,medium,The genetic Cleon dynasty and psychohistory frame empire as a self-perpetuating system.
Foundation,Interiority,4,low,"Some access to Gaal and Demerzel, but spectacle dominates over interior."
Foundation,Authorial Signature,6,medium,"Lavish, distinctive production design and a grand directorial hand."
Foundation,Verisimilitude,4,medium,Mythologized space opera; texture is grand rather than reported.
Foundation,Density,6,medium,"Multiple timelines and names demand tracking, offset by spectacle."
Foundation,Register,7,medium,Operatic and grand in register.
Game of Thrones,Propulsion,8,high,Early seasons compound ruthlessly — Ned's fall cascades into war — though late seasons lose the causal grip.
Game of Thrones,Scope,10,high,"Continents plus every social stratum, from Wall to Essos — a maximal canvas."
Game of Thrones,Institutional Sweep,6,medium,"Great houses, faiths, and the Watch are vivid institutions, but dynastic intrigue, not systems analysis, is the mode."
Game of Thrones,Interiority,4,medium,"Mostly external ensemble, with pockets of interior (Tyrion, Jaime)."
Game of Thrones,Authorial Signature,6,high,"High craft and recognizable scale, but not eccentric auteurism."
Game of Thrones,Verisimilitude,6,medium,Grounded medieval texture early; fantasy elements grow.
Game of Thrones,Density,8,high,"Vast cast, houses, and shifting allegiances to track without much help."
Game of Thrones,Register,7,high,Operatic and maximalist.
ZeroZeroZero,Propulsion,7,high,"The cocaine shipment functions as a relentless relay baton, propelling across continents."
ZeroZeroZero,Scope,9,high,Three continents and the full supply chain — a near-maximal geographic canvas.
ZeroZeroZero,Institutional Sweep,7,medium,"The global narco supply chain is rendered as a system, from 'Ndrangheta to brokers to cartels."
ZeroZeroZero,Interiority,3,medium,Cold and external; almost no inner access.
ZeroZeroZero,Authorial Signature,7,medium,"A severe, formally controlled style with Mogwai's score giving a strong sonic signature."
ZeroZeroZero,Verisimilitude,8,high,"Tradecraft, logistics, and milieu feel meticulously real."
ZeroZeroZero,Density,7,medium,Parallel strands across languages and names demand work.
ZeroZeroZero,Register,4,medium,"Restrained and grim, with occasional operatic dread."
Mr. Robot,Propulsion,8,high,Elliot's spiraling scheme drives relentlessly; reveals reframe and re-propel the story.
Mr. Robot,Scope,6,medium,New York and fsociety widening to global finance — moderate-to-large social canvas.
Mr. Robot,Institutional Sweep,7,medium,E Corp and the surveillance-finance complex operate as a real systemic subject.
Mr. Robot,Interiority,10,high,"The entire show is staged inside one unreliable narrator's mind, direct-address included."
Mr. Robot,Authorial Signature,10,high,"Off-center framing, direct address, and formal sleight-of-hand make it recognizable in a single shot."
Mr. Robot,Verisimilitude,8,high,"Meticulous, accurate hacking and infosec texture despite heavy stylization."
Mr. Robot,Density,8,high,Withholds and misdirects; demands active reconstruction of what is real.
Mr. Robot,Register,6,medium,"Heightened and stylized, though anchored by naturalistic performance."
The Sopranos,Propulsion,6,high,"Steady forward pressure from Tony's double life, though it indulges digression and dream by design."
The Sopranos,Scope,5,medium,North Jersey mob and family — a mid-size social canvas.
The Sopranos,Institutional Sweep,5,medium,"The Family operates as an institution, but the show is finally about a psyche, not a system."
The Sopranos,Interiority,9,high,"The therapy frame makes Tony's interior — guilt, panic, denial — the literal text."
The Sopranos,Authorial Signature,6,high,"A strong, controlled hand (the dream sequences, the cut-to-black grammar) without constant flash."
The Sopranos,Verisimilitude,8,high,"Richly observed suburban-mob texture, lived-in and specific."
The Sopranos,Density,7,high,"Allusive and unhurried, trusting the viewer to sit with ambiguity."
The Sopranos,Register,4,medium,"Mostly naturalistic, with operatic and surreal excursions."
The Americans,Propulsion,8,high,Each mission and each marital lie compounds; the wig-and-cover work always escalates the next crisis.
The Americans,Scope,6,medium,Cold War Washington with Moscow ties — moderate social and geopolitical canvas.
The Americans,Institutional Sweep,6,medium,"The KGB rezidentura and FBI counterintelligence are real systems, though the marriage is the heart."
The Americans,Interiority,7,high,Deeply interior — the cost to Philip and Elizabeth's selves is the real drama.
The Americans,Authorial Signature,4,medium,Controlled and unshowy; period naturalism over visible authorship.
The Americans,Verisimilitude,9,high,Tradecraft and period texture feel reported and exact.
The Americans,Density,7,high,"Quiet, patient, and trusting; little exposition."
The Americans,Register,3,high,"Restrained and controlled, tension held under the surface."
Slow Horses,Propulsion,8,high,"Tight, propulsive plotting — each blunder by Slough House forces a scramble that tightens the next."
Slow Horses,Scope,5,medium,"London and the Service — a moderate, contained canvas."
Slow Horses,Institutional Sweep,6,medium,MI5's bureaucratic pecking order and the dumping ground of Slough House are a real subject of satire.
Slow Horses,Interiority,4,medium,"Largely external; Lamb and Cartwright are read from behavior, not interior."
Slow Horses,Authorial Signature,5,medium,Polished and witty but not strongly auteur-stamped.
Slow Horses,Verisimilitude,7,medium,"Grounded, unglamorous spookery with credible institutional grime."
Slow Horses,Density,6,medium,"Brisk and serialized, rewarding attention without punishing."
Slow Horses,Register,4,medium,"Mostly dry and restrained, with comic and occasional operatic spikes."
The Agency,Propulsion,6,low,A deliberate slow-burn spy register; tension accrues through tradecraft rather than incident.
The Agency,Scope,5,low,A CIA London station with global operations — moderate canvas.
The Agency,Institutional Sweep,7,low,"Following Le Bureau, the station's tradecraft and bureaucracy are much the subject."
The Agency,Interiority,5,low,"Martian's compromised romance opens some interior, but the read is uncertain."
The Agency,Authorial Signature,4,low,Glossy prestige restraint; no strong auteur signature evident yet.
The Agency,Verisimilitude,7,low,"Tradecraft-forward and grounded, though the show is too new to be sure."
The Agency,Density,6,low,Tradecraft detail and competing threads demand moderate attention.
The Agency,Register,3,low,Restrained and controlled in tone.
Fauda,Propulsion,8,medium,Kinetic and cliffhanger-driven; raids and reprisals escalate in a tight loop.
Fauda,Scope,5,medium,"Israel and the West Bank — two societies, a moderate social canvas."
Fauda,Institutional Sweep,4,medium,The undercover unit is a setting more than a dissected institution; action and character lead.
Fauda,Interiority,5,medium,"Notably humanizes both sides, giving real interior to antagonists as well as Doron."
Fauda,Authorial Signature,4,medium,"Urgent, handheld immediacy without conspicuous authorship."
Fauda,Verisimilitude,8,medium,"Gritty, bilingual, both-sides texture that feels reported."
Fauda,Density,6,medium,"Multiple factions and names, moderately demanding."
Fauda,Register,4,medium,"Mostly grounded, with melodramatic surges."
Line of Duty,Propulsion,8,high,The marathon interrogations and twist reveals make each episode pull hard into the next.
Line of Duty,Scope,3,medium,One anti-corruption unit and its cases — a small canvas.
Line of Duty,Institutional Sweep,7,medium,Institutional corruption is the literal subject: AC-12 versus 'bent coppers' and OCG infiltration of the force.
Line of Duty,Interiority,3,medium,Procedural and external; little inner life.
Line of Duty,Authorial Signature,4,medium,"The interrogation set-piece is a signature device, but the surface is TV-naturalist."
Line of Duty,Verisimilitude,6,medium,"Procedural authenticity (protocol, acronyms) is high, though late-series twists strain it."
Line of Duty,Density,7,medium,"Dense with acronyms (CHIS, UCO, OCG) and protocol, with no hand-holding."
Line of Duty,Register,4,medium,"Mostly restrained, spiking to heightened confrontation."
Blue Lights,Propulsion,6,medium,"Steady tension from rookie mistakes and Belfast's live threats, building rather than idling."
Blue Lights,Scope,3,medium,"One city's policing — a small, contained canvas."
Blue Lights,Institutional Sweep,5,medium,"The PSNI and post-Troubles community and paramilitary dynamics are present, but the focus is the rookies."
Blue Lights,Interiority,4,medium,Rookie POV gives some interior access amid an ensemble.
Blue Lights,Authorial Signature,3,medium,"Plain, naturalistic social-realist craft."
Blue Lights,Verisimilitude,8,medium,"Specific, researched Belfast policing texture that feels lived-in."
Blue Lights,Density,5,medium,Moderate demand; followable.
Blue Lights,Register,3,medium,Restrained and naturalistic.
Silo,Propulsion,2,high,Doles out crumbs instead of escalating; the mystery is rationed rather than compounded.
Silo,Scope,3,medium,Confined to a single underground silo — a small physical canvas.
Silo,Institutional Sweep,4,medium,"The silo's governance and secrecy hint at a system, but it stays backdrop more than dissected machine."
Silo,Interiority,4,medium,"Some access to Juliette, but the mode is largely external."
Silo,Authorial Signature,4,medium,"Competent, muted dystopian style without strong authorial stamp."
Silo,Verisimilitude,5,medium,"Functional world-building; texture is adequate, not richly reported."
Silo,Density,5,medium,Moderate — a mystery to track but heavily sign-posted.
Silo,Register,3,medium,Restrained and grim in register.
Top Boy,Propulsion,5,medium,More slice-of-life than cliffhanger; tension simmers in the character-study mode rather than charging forward.
Top Boy,Scope,3,medium,Centered on one London estate — a deliberately small canvas.
Top Boy,Institutional Sweep,4,medium,"The drug economy and gentrification give systemic texture, but the focus stays on a few lives."
Top Boy,Interiority,5,medium,Real interior for Dushane and Sully under the street surface.
Top Boy,Authorial Signature,5,medium,"Atmospheric and grounded, with a restrained but distinct mood."
Top Boy,Verisimilitude,8,medium,"Lived-in London estate texture, slang and economics exact."
Top Boy,Density,6,medium,"Slang and names to hold, moderately demanding."
Top Boy,Register,3,medium,Restrained and naturalistic.
Severance,Propulsion,5,medium,"More withholding than propulsive — a mystery-box that rations revelation, save for the finale's surge."
Severance,Scope,3,medium,Lumon's office floor and a small town — a confined canvas.
Severance,Institutional Sweep,6,medium,Lumon as cultic corporate institution is much the subject — the machine that owns its workers.
Severance,Interiority,7,medium,The innie/outie split makes divided consciousness and selfhood the literal premise.
Severance,Authorial Signature,9,high,"Stiller's symmetrical, retro-modern design is unmistakable in a single frame."
Severance,Verisimilitude,3,medium,Deliberately unreal and allegorical; not aiming for reported texture.
Severance,Density,7,medium,Withholds exposition; the viewer must assemble the mystery.
Severance,Register,6,medium,"Stylized and heightened in design, yet deadpan in tone — a register that sits oddly between poles."
Peaky Blinders,Propulsion,8,high,"Kinetic and momentum-forward, always charging to the next confrontation."
Peaky Blinders,Scope,7,medium,"Expands from a Birmingham gang to London, Westminster, and international politics."
Peaky Blinders,Institutional Sweep,5,medium,"The Shelby enterprise becomes quasi-institutional, but the system is not the real subject."
Peaky Blinders,Interiority,4,medium,"Some access to Tommy, but the mode is external mythologizing."
Peaky Blinders,Authorial Signature,7,high,"Highly stylized — slow motion, anachronistic music, posed swagger."
Peaky Blinders,Verisimilitude,3,high,Mythologized and anachronistic; glamour over lived-in texture.
Peaky Blinders,Density,5,medium,Moderate; the plotting is followable without much work.
Peaky Blinders,Register,9,high,"Operatic and maximalist — and, combined with low verisimilitude, the 'corny' reading."
The West Wing,Propulsion,5,medium,"Walk-and-talk urgency gives drive, but episodes are largely self-contained crises that reset."
The West Wing,Scope,5,medium,The White House and national politics — a moderate institutional canvas.
The West Wing,Institutional Sweep,6,medium,"The workings of the executive branch are a genuine subject, albeit idealized."
The West Wing,Interiority,3,medium,External and dialogue-driven; little interior staging.
The West Wing,Authorial Signature,6,high,Sorkin's cadence and rhythm are an instantly recognizable authorial voice.
The West Wing,Verisimilitude,5,medium,Aspirational and idealized rather than grittily reported — credible but burnished.
The West Wing,Density,5,medium,"Fast policy talk, but broadcast design recaps and self-explains — the dated, lower-density case."
The West Wing,Register,4,medium,"Earnest and somewhat heightened in idealism, but naturalistic in delivery."
Person of Interest,Propulsion,6,medium,A procedural case-of-the-week surface early that becomes intensely serialized and propulsive once the AI war takes over.
Person of Interest,Scope,6,medium,"New York early, widening to a global surveillance conflict."
Person of Interest,Institutional Sweep,6,medium,The Machine and Samaritan turn the surveillance state itself into the show's systemic subject.
Person of Interest,Interiority,3,medium,External and plot-driven; little interiority.
Person of Interest,Authorial Signature,4,medium,"Slick network-procedural craft early, without strong auteur signature."
Person of Interest,Verisimilitude,5,medium,Tech-thriller plausibility with network gloss — moderate texture.
Person of Interest,Density,5,medium,"Low early by design (self-contained numbers), rising to high serialized density later."
Person of Interest,Register,5,medium,"Mostly grounded, escalating toward operatic sci-fi stakes."
Rome,Propulsion,7,medium,Vorenus and Pullo thread a strong narrative drive through the historical machinery.
Rome,Scope,8,medium,"Republic-to-empire Rome plus Egypt, spanning every social stratum from slave to Senate."
Rome,Institutional Sweep,7,medium,"The Roman political machine — Senate, patronage, religion, the legions — is a real subject."
Rome,Interiority,3,medium,"Largely external; we read the players from behavior, not interior."
Rome,Authorial Signature,6,medium,Lavish HBO craft with a strong but not eccentric hand.
Rome,Verisimilitude,8,medium,"Researched grime — graffiti, ritual, class — gives earned ancient texture."
Rome,Density,7,medium,"Politics, factions, and names demand active tracking."
Rome,Register,8,medium,"Operatic and grand, and — paired with high verisimilitude — earned rather than corny."
